year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2021,Mankato-North Mankato,Local,113529604,3417,0.3,0.5
2021,Mankato-North Mankato,Major Collector,154876509,815,0.5,0.7
2021,Mankato-North Mankato,Minor Arterial,231030831,379,0.5,0.7
2021,Mankato-North Mankato,Minor Collector,60307911,612,0.5,0.7
2021,Mankato-North Mankato,Principal Arterial,402202934,338,0.7,1
2021,Minneapolis-St. Paul-Bloomington,Freeway/Expressway,3660529492,733,0.7,1
2021,Minneapolis-St. Paul-Bloomington,Interstate,8231153186,1577,0.7,1
2021,Minneapolis-St. Paul-Bloomington,Local,3182821929,35440,0.3,0.5
2021,Minneapolis-St. Paul-Bloomington,Major Collector,2782347189,5939,0.5,0.7
2021,Minneapolis-St. Paul-Bloomington,Minor Arterial,7982743115,7390,0.5,0.7
2021,Minneapolis-St. Paul-Bloomington,Minor Collector,827102279,4435,0.5,0.7
2021,Minneapolis-St. Paul-Bloomington,Principal Arterial,4162009772,1815,0.7,1
2021,Rochester,Freeway/Expressway,330275937,111,0.7,1
2021,Rochester,Interstate,110002327,109,0.7,1
2021,Rochester,Local,292475541,7285,0.3,0.5
2021,Rochester,Major Collector,370151040,1519,0.5,0.7
2021,Rochester,Minor Arterial,536069523,885,0.5,0.7
2021,Rochester,Minor Collector,91604920,901,0.5,0.7
2021,Rochester,Principal Arterial,450065660,402,0.7,1
2021,St. Cloud,Interstate,604644308,231,0.7,1
2021,St. Cloud,Local,268952381,5818,0.3,0.5
2021,St. Cloud,Major Collector,312377278,1109,0.5,0.7
2021,St. Cloud,Minor Arterial,357175834,474,0.5,0.7
2021,St. Cloud,Minor Collector,94497600,784,0.5,0.7
2021,St. Cloud,Principal Arterial,725551943,487,0.7,1
2022,Duluth,Interstate,234931304,127,0.7,1
2022,Duluth,Local,41817212,1577,0.3,0.5
2022,Duluth,Major Collector,91823024,416,0.5,0.7
2022,Duluth,Minor Arterial,54355005,128,0.5,0.7
2022,Duluth,Minor Collector,20122274,249,0.5,0.7
2022,Duluth,Principal Arterial,59490892,81,0.7,1
2022,Mankato-North Mankato,Freeway/Expressway,97800377,42,0.7,1
2022,Mankato-North Mankato,Local,113901028,3429,0.3,0.5
2022,Mankato-North Mankato,Major Collector,157202062,816,0.5,0.7
2022,Mankato-North Mankato,Minor Arterial,237813939,379,0.5,0.7
2022,Mankato-North Mankato,Minor Collector,71102199,613,0.5,0.7
2022,Mankato-North Mankato,Principal Arterial,396894678,337,0.7,1
2022,Minneapolis-St. Paul-Bloomington,Freeway/Expressway,3731980581,731,0.7,1
2022,Minneapolis-St. Paul-Bloomington,Interstate,8476861903,1577,0.7,1
2022,Minneapolis-St. Paul-Bloomington,Local,3215521534,35742,0.3,0.5
