year,county,facilityType,vmt,laneMiles,minElast,maxElast
2016,Jackson,Minor Arterial,15617459,46,0.5,0.7
2016,Jackson,Minor Collector,12604038,286,0.5,0.7
2016,Jackson,Principal Arterial,67811391,140,0.7,1
2016,Kanabec,Local,24475807,1142,0.3,0.5
2016,Kanabec,Major Collector,40451064,276,0.5,0.7
2016,Kanabec,Minor Arterial,58536820,106,0.5,0.7
2016,Kanabec,Minor Collector,6568056,100,0.5,0.7
2016,Kanabec,Principal Arterial,43749831,43,0.7,1
2016,Kandiyohi,Freeway/Expressway,14969425,23,0.7,1
2016,Kandiyohi,Local,58752713,2201,0.3,0.5
2016,Kandiyohi,Major Collector,91955828,464,0.5,0.7
2016,Kandiyohi,Minor Arterial,67065341,138,0.5,0.7
2016,Kandiyohi,Minor Collector,37520607,408,0.5,0.7
2016,Kandiyohi,Principal Arterial,219469980,248,0.7,1
2016,Kittson,Local,15072726,2025,0.3,0.5
2016,Kittson,Major Collector,18230232,391,0.5,0.7
2016,Kittson,Minor Arterial,28771797,193,0.5,0.7
2016,Kittson,Minor Collector,4632780,317,0.5,0.7
2016,Kittson,Principal Arterial,17537823,75,0.7,1
2016,Koochiching,Local,18993078,1542,0.3,0.5
2016,Koochiching,Major Collector,16306471,290,0.5,0.7
2016,Koochiching,Minor Arterial,28340441,263,0.5,0.7
2016,Koochiching,Minor Collector,7274514,374,0.5,0.7
2016,Koochiching,Principal Arterial,57804561,199,0.7,1
2016,Lac Qui Parle,Local,24076367,2031,0.3,0.5
2016,Lac Qui Parle,Major Collector,23198742,371,0.5,0.7
2016,Lac Qui Parle,Minor Arterial,30827217,149,0.5,0.7
2016,Lac Qui Parle,Minor Collector,4937394,293,0.5,0.7
2016,Lac Qui Parle,Principal Arterial,28845713,70,0.7,1
2016,Lake,Local,17667060,1260,0.3,0.5
2016,Lake,Major Collector,41008212,348,0.5,0.7
2016,Lake,Minor Arterial,10517815,120,0.5,0.7
2016,Lake,Minor Collector,11546533,171,0.5,0.7
2016,Lake,Principal Arterial,95579703,121,0.7,1
2016,Lake of the Woods,Local,7840523,902,0.3,0.5
2016,Lake of the Woods,Major Collector,13030163,219,0.5,0.7
2016,Lake of the Woods,Minor Arterial,8373600,61,0.5,0.7
2016,Lake of the Woods,Minor Collector,3584508,176,0.5,0.7
2016,Lake of the Woods,Principal Arterial,18001679,52,0.7,1
2016,Le Sueur,Local,41941257,1352,0.3,0.5
2016,Le Sueur,Major Collector,60866216,317,0.5,0.7
2016,Le Sueur,Minor Arterial,97336867,159,0.5,0.7
2016,Le Sueur,Minor Collector,29896749,235,0.5,0.7
2016,Le Sueur,Principal Arterial,45639689,33,0.7,1
2016,Lincoln,Local,17959174,1408,0.3,0.5
2016,Lincoln,Major Collector,18487719,320,0.5,0.7
2016,Lincoln,Minor Arterial,23975812,127,0.5,0.7
2016,Lincoln,Minor Collector,4577407,182,0.5,0.7
2016,Lincoln,Principal Arterial,13739294,42,0.7,1
2016,Lyon,Local,38443150,1896,0.3,0.5
2016,Lyon,Major Collector,55148824,418,0.5,0.7
2016,Lyon,Minor Arterial,53744865,117,0.5,0.7
2016,Lyon,Minor Collector,20134392,318,0.5,0.7
2016,Lyon,Principal Arterial,113289663,203,0.7,1
2016,Mahnomen,Local,10187192,982,0.3,0.5
2016,Mahnomen,Major Collector,19259075,196,0.5,0.7
2016,Mahnomen,Minor Arterial,14994890,61,0.5,0.7
2016,Mahnomen,Minor Collector,5777677,154,0.5,0.7
2016,Mahnomen,Principal Arterial,29944737,49,0.7,1
2016,Marshall,Local,52874099,3921,0.3,0.5
2016,Marshall,Major Collector,26568936,578,0.5,0.7
2016,Marshall,Minor Arterial,60084751,349,0.5,0.7
2016,Marshall,Minor Collector,8886332,449,0.5,0.7
2016,Marshall,Principal Arterial,17571082,52,0.7,1
2016,Martin,Interstate,102412321,125,0.7,1
2016,Martin,Local,43043121,2032,0.3,0.5
2016,Martin,Major Collector,89963085,456,0.5,0.7
2016,Martin,Minor Arterial,39968961,85,0.5,0.7
2016,Martin,Minor Collector,17219375,345,0.5,0.7
2016,Martin,Principal Arterial,20111774,27,0.7,1
2016,McLeod,Local,42242811,1468,0.3,0.5
2016,McLeod,Major Collector,66918396,310,0.5,0.7
2016,McLeod,Minor Arterial,50463588,80,0.5,0.7
2016,McLeod,Minor Collector,24544690,199,0.5,0.7
2016,McLeod,Principal Arterial,167693537,187,0.7,1
2016,Meeker,Local,36590484,1743,0.3,0.5
2016,Meeker,Major Collector,54222462,373,0.5,0.7
2016,Meeker,Minor Arterial,57843184,162,0.5,0.7
2016,Meeker,Minor Collector,11698837,200,0.5,0.7
2016,Meeker,Principal Arterial,91279280,100,0.7,1
2016,Mille Lacs,Freeway/Expressway,19016537,12,0.7,1
2016,Mille Lacs,Local,34822396,1383,0.3,0.5
2016,Mille Lacs,Major Collector,42561517,291,0.5,0.7
2016,Mille Lacs,Minor Arterial,76003235,112,0.5,0.7
2016,Mille Lacs,Minor Collector,11985199,166,0.5,0.7
2016,Mille Lacs,Principal Arterial,239561230,201,0.7,1
2016,Morrison,Freeway/Expressway,63098245,52,0.7,1
2016,Morrison,Local,58090775,2465,0.3,0.5
2016,Morrison,Major Collector,95651353,673,0.5,0.7
2016,Morrison,Minor Arterial,75470256,156,0.5,0.7
2016,Morrison,Minor Collector,26340971,378,0.5,0.7
2016,Morrison,Principal Arterial,171688726,170,0.7,1
2016,Mower,Interstate,138656263,122,0.7,1
2016,Mower,Local,54574365,2132,0.3,0.5
2016,Mower,Major Collector,68276740,502,0.5,0.7
2016,Mower,Minor Arterial,79901694,156,0.5,0.7
2016,Mower,Minor Collector,26863749,263,0.5,0.7
2016,Mower,Principal Arterial,43727785,49,0.7,1
2016,Murray,Local,24290811,1957,0.3,0.5
2016,Murray,Major Collector,28066572,410,0.5,0.7
2016,Murray,Minor Arterial,25912710,125,0.5,0.7
2016,Murray,Minor Collector,4697034,191,0.5,0.7
2016,Murray,Principal Arterial,27030413,58,0.7,1
